LASTNAME,FIRSTNAME,PLAYERID,DAVENPORTCODE,MLBCODE,RETROSHEETCODE
Fox,Jason,35560,FOX19770330A,436407,
Fox,Ben,35563,FOX19810622A,456097,
Frace,Ryan,35564,FRACE19720000A,443710,
Frachiseur,Zach,35565,FRACHISEU19760930A,437231,
France,Aaron,35566,FRANCE19740417A,438538,
Francia,David,35567,FRANCIA19750416A,443038,
Francia,Juan,35568,FRANCIA19820104A,448720,
Francisco,Ruben,35572,FRANCISCO19770713A,470237,
Francisco,Frank,35574,FRANCISCO19790911A,407911,franf001
Francisco,Ben,35575,FRANCISCO19811023A,450204,franb001
Francisco,Alfredo,35576,FRANCISCO19840827A,467028,
Franco,Raul,35578,FRANCO19760114A,468697,
Franco,Martire,35581,FRANCO19780225A,435499,
Franco,Pascual,35582,FRANCO19790309A,466069,
Franco,Esterlin,35583,FRANCO19801125A,466820,
Franco,Iker,35584,FRANCO19810505A,443554,
Frank,Nick,35586,FRANK19760609A,464187,
Franke,Aaron,35587,FRANKE19790813A,462445,
Franklin,Jason,35589,FRANKLIN19761220A,442477,
Franks,Lance,35591,FRANKS19750820A,466131,
Fransz,Jason,35592,FRANSZ19810205A,448688,
Fraraccio,Dan,35594,FRARACCIO19700918A,463761,
Frary,Levi,35595,FRARY19790327A,458996,
Frasor,Jason,35597,FRASOR19770809A,430630,frasj002
Frazier,Brad,35602,FRAZIER19761216A,437882,
Frazier,Carlos,35603,FRAZIER19781101A,438236,
Frazier,Charles,35604,FRAZIER19800706A,460234,
Frazier,Alex,35605,FRAZIER19801221A,446652,
Freeburg,Ryan,35606,FREEBURG19710000A,442020,
Freed,Mark,35607,FREED19780810A,456457,
Freedberg,Todd,35608,FREEDBERG19750000A,466772,
Freehill,Mike,35609,FREEHILL19710602A,439116,
Freeman,Ricky,35612,FREEMAN19720203A,438387,
Freeman,Terrance,35614,FREEMAN19750124A,468737,
Freeman,Brad,35615,FREEMAN19750913A,436378,
Freeman,Kai,35616,FREEMAN19770311A,441787,
Freeman,Ashley,35618,FREEMAN19790127A,444106,
Freeman,Eric,35619,FREEMAN19790923A,473136,
Freeman,Corey,35620,FREEMAN19791013A,437561,
Freeman,Daniel,35622,FREEMAN19820803A,454475,
Freire,Alejandro,35623,FREIRE19740823A,439421,freia001
Freitas,Joe,35625,FREITAS19730802A,436715,
Freitas,Jeremy,35626,FREITAS19750204A,441822,
Freites,Julio,35627,FREITES19820530A,453907,
French,Anton,35629,FRENCH19750725A,431156,
French,Ron,35630,FRENCH19780524A,440344,
Frend,Tim,35631,FREND19800520A,453439,
Frendling,Neal,35632,FRENDLING19791007A,444316,
Frey,Jason,35634,FREY19780524A,471044,
Friar,Roddy,35635,FRIAR19760510A,446502,
Frias,Ovidio,35636,FRIAS19770319A,465290,
Frias,Juan,35637,FRIAS19790627A,465378,
Frick,Matt,35640,FRICK19760102A,438961,
Frick,Mike,35641,FRICK19800318A,447657,
Friedberg,Drew,35642,FRIEDBERG19790303A,455614,
Friedholm,Scott,35643,FRIEDHOLM19750314A,439894,
Frierson,Andrew,35647,FRIERSON19750811A,439545,
Fries,Scott,35648,FRIES19771203A,459713,
Fries,Tim,35649,FRIES19800402A,473155,
Friske,Parker,35650,FRISKE19790501A,473151,
Fritz,Jim,35652,FRITZ19750602A,440552,
Fritz,Benjamin,35653,FRITZ19810329A,455007,
Frome,Jason,35655,FROME19790703A,448830,
Fronio,Jason,35656,FRONIO19700000A,459638,
Frontera,Chad,35657,FRONTERA19721122A,443890,
Froschauer,Trevor,35658,FROSCHAUE19730000A,443173,
Frost,Jeremy,35660,FROST19791119A,459312,
Frush,Jimmy,35661,FRUSH19750000A,442140,
Fruto,Emiliano,35662,FRUTO19840606A,464254,frute001
Fry,Justin,35665,FRY19760820A,449835,
Fry,Ryan,35666,FRY19800511A,452281,
Frydendall,Craig,35667,FRYDENDAL19820525A,457999,
Fryson,Andrew,35670,FRYSON19801013A,447637,
Fuduric,Tony,35671,FUDURIC19750000A,438628,
Fuell,Jerrod,35672,FUELL19801003A,449831,
Fuentes,Javier,35673,FUENTES19740927A,443298,
Fuentes,Joel,35674,FUENTES19760527A,440763,
Fuentes,Omar,35675,FUENTES19800406A,425898,
Fugarino,Steve,35677,FUGARINO19780316A,444898,
Fujikawa,Kyuji,35683,FUJIKAWA00000000A,493117,fujik001
Fujita,Soichi,35690,FUJITA00000000B,493119,
Fukudome,Kosuke,35695,FUKUDOME00000000A,493120,fukuk001
Fukuhara,Pete,35697,FUKUHARA19751021A,465496,
Fukumori,Kazuo,35699,FUKUMORI00000000A,506429,fukuk002
Fulchino,Jeff,35708,FULCHINO19791126A,445246,fulcj001
Fuller,Aaron,35711,FULLER19710907A,439794,
Fuller,Jody,35715,FULLER19760912A,439344,
Fuller,Casey,35716,FULLER19790209A,448153,
Fuller,Brendan,35718,FULLER19800913A,460334,
Fulmer,T.A.,35720,FULMER19800114A,449488,
Fulse,Sheldon,35721,FULSE19811110A,456635,
Funaro,Joe,35724,FUNARO19730320A,437348,
Furbush,Mark,35727,FURBUSH19780302A,473144,
Furmaniak,J.J.,35729,FURMANIAK19790731A,434583,furmj001
Furnald,Donald,35730,FURNALD19791202A,447653,
Furniss,Eddy,35731,FURNISS19750918A,444038,
Gabbard,Kason,35742,GABBARD19820408A,451257,gabbk001
Gabriel,Justin,35744,GABRIEL19790302A,452641,
Gage,Matt,35747,GAGE19780323A,448729,
Gagliano,Steve,35749,GAGLIANO19770804A,443907,
Gahan,Matthew,35750,GAHAN19751126A,472463,
Gainey,Bryon,35753,GAINEY19760123A,441588,
Gajewski,Matt,35754,GAJEWSKI19771008A,449841,
Galante,Matt,35755,GALANTE19781010A,446503,
Galbraith,Jason,35757,GALBRAITH19800718A,448708,
Gallagher,Shawn,35759,GALLAGHER19761108A,439705,
Gallagher,Buddy,35761,GALLAGHER19790103A,454627,
Gallaher,Kevin,35762,GALLAHER19680801A,457323,
Gallaher,T.T.,35763,GALLAHER19771105A,437226,
Gallardo,Stalin,35764,GALLARDO19790802A,469526,
Galligani,Marcel,35765,GALLIGANI19710000A,435987,
Gallo,Ismael,35766,GALLO19770114A,440756,
Galva,Claudio,35771,GALVA19770328A,469473,
Galvez,Randy,35774,GALVEZ19780726A,468739,
Galvez,Willy,35775,GALVEZ19800401A,466815,
Gama,Rick,35776,GAMA19730427A,440307,
Gambill,Chad,35777,GAMBILL19741127A,442823,
Gambino,Michael,35778,GAMBINO19770709A,463575,
Gambs,Chris,35780,GAMBS19740000A,441170,
Gancasz,Michael,35783,GANCASZ19740516A,443904,
Gandolfo,Rob,35784,GANDOLFO19770824A,468965,
Gandy,Josh,35785,GANDY19751012A,439872,
Gangemi,Joe,35786,GANGEMI19760503A,437402,
Gann,Jamie,35788,GANN19750501A,436353,
Gann,Bryan,35789,GANN19780407A,452959,
Ganote,Joe,35790,GANOTE19680000A,439382,
Garabito,Eddy,35792,GARABITO19761202A,408199,garae001
Garabito,Vianney,35793,GARABITO19791212A,469502,
Garay,Kelvin,35794,GARAY19850118A,459339,
Garber,Mike,35797,GARBER19810109A,453612,
Garcia,Neil,35811,GARCIA19730406A,441582,
Garcia,Ossie,35812,GARCIA19731014A,441567,
Garcia,Alfredo,35816,GARCIA19740611A,443169,
Garcia,Osmani,35817,GARCIA19740906A,471733,
Garcia,Vicente,35821,GARCIA19750214A,464580,
Garcia,Ariel,35823,GARCIA19751003A,465807,
Garcia,Apostol,35826,GARCIA19760803A,472796,
Garcia,Sonny,35827,GARCIA19760910A,442741,
Garcia,Gabe,35829,GARCIA19770315A,439514,
Garcia,Ismael,35830,GARCIA19770911A,441919,
Garcia,Sandro,35831,GARCIA19771122A,443029,
Garcia,Tony,35832,GARCIA19780312A,441931,
Garcia,Bryan,35835,GARCIA19780621A,439270,
Garcia,Cip,35837,GARCIA19781023A,438927,
Garcia,Isaac,35838,GARCIA19781106A,472324,
Garcia,Sandy,35842,GARCIA19790219A,463379,
Garcia,Yosnel,35843,GARCIA19790221A,470851,
Garcia,Alex,35844,GARCIA19790414A,468143,
Garcia,Douglas,35845,GARCIA19790425A,470844,
Garcia,Nicolas,35849,GARCIA19800502A,462448,
Garcia,Kent,35851,GARCIA19800729A,464778,
Garcia,Kevys,35853,GARCIA19801009A,468166,
Garcia,Anderson,35855,GARCIA19810323A,457483,garca002
Garcia,Williams,35856,GARCIA19810810A,473060,
Garcia,Benjamin,35857,GARCIA19811016A,468896,
Garcia,Rurik,35859,GARCIA19820613A,463473,
Garcia,Yunir,35860,GARCIA19820803A,451471,
Garcia,Kelvin,35861,GARCIA19820908A,465533,
Casilla,Santiago,35863,GARCIA19830307A,433586,garcj002
Garcia,Lino,35864,GARCIA19831012A,470364,
Gardea,Mario,35867,GARDEA19800226A,456604,
Gardner,Nathan,35870,GARDNER19740910A,436019,
Gardner,Hayden,35871,GARDNER19801007A,456719,
Garey,Dan,35872,GAREY19771022A,443073,
Garff,Jeff,35873,GARFF19760000A,440335,
Gargano,Mike,35874,GARGANO19780728A,442714,
Garibaldi,Cecilio,35877,GARIBALDI19780105A,464099,
Garland,Tim,35878,GARLAND19680715A,438963,
Garland,Ross,35879,GARLAND19800227A,460633,
Garmong,Aaron,35882,GARMONG19760603A,439325,
Garner,Isiah,35884,GARNER19800108A,450208,
Garrett,Jason,35887,GARRETT19730610A,437355,
Garrett,Scott,35888,GARRETT19740308A,443288,
Garrett,Neil,35889,GARRETT19740704A,442021,
Garrett,Hal,35890,GARRETT19750427A,439623,
Garrett,Joshua,35891,GARRETT19780112A,440059,
Garrett,Shawn,35892,GARRETT19781102A,434631,
Garrick,Matt,35893,GARRICK19750819A,408216,
Garrido,Tomas,35894,GARRIDO19810827A,452179,
Garris,Antonio,35895,GARRIS19780323A,457419,
Garrow,David,35897,GARROW19710000A,440944,
Garsky,Brian,35898,GARSKY19760000A,469433,
Garthwaite,Jay,35899,GARTHWAIT19801126A,448686,
Garvin,Robert,35900,GARVIN19790314A,439869,
Garza,Chris,35903,GARZA19750723A,443415,
Garza,Alberto,35904,GARZA19770525A,407916,
Garza,Rolando,35905,GARZA19791214A,440569,
Garzon,Eliseo,35906,GARZON00000000A,469883,
Gaskill,Derek,35907,GASKILL19740506A,437478,
Gassner,Dave,35910,GASSNER19781214A,434559,gassd001
Gates,Jeff,35913,GATES19780711A,451221,
Gates,Brian,35914,GATES19790925A,447669,
Gates,Jeron,35915,GATES19800131A,457092,
Gathright,Joey,35917,GATHRIGHT19820422A,431157,gathj001
Gatti,William,35919,GATTI19770720A,472501,
Gauch,Barry,35920,GAUCH19761128A,452189,
Gaud,Perfecto,35921,GAUD19781204A,443552,
Gaudin,Chad,35922,GAUDIN19830324A,429985,gaudc001
Gavaghan,Sean,35923,GAVAGHAN19700000A,436832,
Gavelek,Bradley,35924,GAVELEK19780310A,468405,
Gavia,Jesus,35926,GAVIA00000000A,433876,
Gawer,Matt,35928,GAWER19780415A,446848,
Gay,Curt,35931,GAY19770912A,445635,
Gazarek,Marty,35932,GAZAREK19730601A,436873,
Gearlds,Aaron,35933,GEARLDS19791213A,455937,
Geary,Geoff,35934,GEARY19760826A,407783,gearg001
Geeve,Dave,35935,GEEVE19700000A,442521,
Gehrke,Jay,35936,GEHRKE19771101A,460559,
Geigel,Rolando,35937,GEIGEL19790918A,461876,
Geis,John,35939,GEIS19731221A,436916,
Geisbush,Dave,35940,GEISBUSH19761219A,464183,
Geisler,Phil,35941,GEISLER19691023A,437278,
Gelotti,Matt,35943,GELOTTI00000000A,446010,
Gemmell,Don,35944,GEMMELL19790715A,451667,
Gemoll,Justin,35945,GEMOLL19771119A,456022,
Gemoll,Brandon,35946,GEMOLL19800915A,456733,
Generelli,Daniel,35947,GENERELLI19800825A,455042,
Gennaro,Brad,35949,GENNARO19720000A,442042,
Gentile,Scott,35950,GENTILE19701221A,436841,
Gentry,Aaron,35952,GENTRY19750522A,442166,
Gentry,Garett,35953,GENTRY19810627A,462457,
George,Chris,35954,GEORGE19770806A,450233,
George,Todd,35955,GEORGE19781220A,473182,
George,Jahseam,35956,GEORGE19790511A,449478,
George,Brad,35957,GEORGE19820531A,453933,
George,Taylor,35958,GEORGE19820814A,457990,
George,Trey,35959,GEORGE19830126A,456561,
Geraldo,Anulfo,35961,GERALDO19791201A,468138,
Gerber,Joe,35965,GERBER19780827A,451565,
Gerk,Jordan,35966,GERK19790706A,445232,
German,Yon,35968,GERMAN19780228A,468775,
German,Amado,35969,GERMAN19780330A,468152,
German,Cesar,35970,GERMAN19790621A,466830,
German,Ramon,35971,GERMAN19800115A,469496,
German,Frank,35972,GERMAN19800228A,462727,
German,Sandino,35974,GERMAN19830507A,469713,
Germano,Justin,35975,GERMANO19820806A,430683,germj001
Germosen,Julio,35976,GERMOSEN19770000A,467342,
Geronimo,Cesar,35977,GERONIMO19751219A,463978,
Gerstein,Ron,35978,GERSTEIN19690000A,441960,
Gerteisen,Aaron,35979,GERTEISEN19730000A,438841,
Gettis,Byron,35980,GETTIS19800313A,430656,gettb001
Getz,Rod,35981,GETZ19760217A,436196,
Gholar,Antonio,35983,GHOLAR19740000A,443418,
Ghutzman,Phillip,35984,GHUTZMAN19781001A,454631,
Giambalvo,Paul,35986,GIAMBALVO19750317A,442728,
Giard,Ken,35987,GIARD19730402A,442546,
Gibbons,Danny,35989,GIBBONS19801021A,457815,
Gibbs,Kevin,35990,GIBBS19740403A,443534,
Gibbs,Mark,35991,GIBBS19770816A,456001,
Gibralter,David,35992,GIBRALTER19750619A,439795,
Giese,Dan,35995,GIESE19770519A,435500,giesd001
Gil,Jerry,35998,GIL19821014A,430667,gil-j001
Gilbert,Rich,35999,GILBERT19791114A,459385,
Gilchrist,Ronald,36000,GILCHRIST19780117A,451244,
Giles,Tim,36001,GILES19750912A,436212,
Gilfillan,Jason,36002,GILFILLAN19760831A,429360,gilfj001
Gilhooly,Tim,36003,GILHOOLY19810831A,449483,
Gilich,Denny,36004,GILICH19750821A,440915,
Gill,Ryan,36006,GILL19770201A,456013,
Gill,Chris,36007,GILL19810217A,462388,
Gillespie,Eric,36008,GILLESPIE19750606A,437201,
Gilliam,Wesley,36009,GILLIAM19790731A,457096,
Gillikin,Joey,36011,GILLIKIN19770317A,471765,
Gillitzer,Scott,36013,GILLITZER19790611A,447817,
Gillman,Justin,36014,GILLMAN19830627A,447660,
Gilmore,Travis,36017,GILMORE19790214A,463576,
Gilpatrick,Tyler,36018,GILPATRIC19790503A,447777,
Gimenez,Hector,36019,GIMENEZ19820928A,430591,gimeh001
Giorgis,David,36021,GIORGIS19810814A,452267,
Gipner,Marcus,36022,GIPNER19740000A,443020,
Girdley,Josh,36023,GIRDLEY19800829A,452685,
Giron,Emiliano,36025,GIRON19720000A,450915,
Giron,Isabel,36026,GIRON19731117A,473510,
Giron,Roberto,36027,GIRON19760324A,434441,
Giron,Alejandro,36028,GIRON19790421A,472212,
Gissell,Chris,36029,GISSELL19780104A,277414,gissc001
Giudice,John,36030,GIUDICE19710619A,442841,
Giuliano,Joe,36032,GIULIANO19760101A,442650,
Gjerde,Jeff,36034,GJERDE19750109A,435892,
Glaser,Eric,36036,GLASER19780123A,442913,
Glaser,Marlo,36037,GLASER19780712A,456107,
Glass,Chip,36038,GLASS19710624A,440016,
Glasser,Scott,36039,GLASSER19751209A,436355,
Glassey,Josh,36040,GLASSEY19770506A,440845,
Glavine,Mike,36041,GLAVINE19730124A,430403,glavm001
Glen,Will,36043,GLEN19771030A,431155,
Glendenning,Mike,36044,GLENDENNI19760826A,441763,
Glessner,Jeremiah,36047,GLESSNER19800419A,454542,
Glick,Dave,36048,GLICK19760402A,436177,
Glidewell,Clifton,36049,GLIDEWELL19780321A,449861,
Glozier,Larry,36051,GLOZIER19740000A,466735,
Glysch,Craig,36053,GLYSCH19770000A,462446,
Gnirk,Mark,36054,GNIRK19750000A,436910,
Goas,Adrian,36055,GOAS19791124A,461760,
Gobbel,Gene,36056,GOBBEL19760821A,439551,
Godbolt,Keith,36057,GODBOLT19801106A,458202,
Godfrey,Tim,36058,GODFREY19770826A,441939,
Goedhart,Darrell,36060,GOEDHART19710000A,441677,
Goelz,Jim,36061,GOELZ19760213A,441128,
Goelz,Bryan,36062,GOELZ19800410A,445587,
Goetz,Geoff,36064,GOETZ19790403A,346861,
Gogolin,Al,36066,GOGOLIN19720000A,439084,
Gold,J.M.,36068,GOLD19800410A,444062,
Gold,Nate,36069,GOLD19800612A,445093,
Goldfield,Josh,36072,GOLDFIELD19790711A,461775,
Goldsmith,Gary,36073,GOLDSMITH19710704A,439477,
Goligoski,Jason,36074,GOLIGOSKI19711002A,437304,
Golston,Toraino,36075,GOLSTON19730000A,442280,
Gomer,Jeramy,36076,GOMER19790612A,442733,
Gomera,Rafael,36077,GOMERA19770928A,473495,
Gomersall,Richard,36078,GOMERSALL19790212A,473150,
Gomes,Tony,36079,GOMES19770910A,441129,
Gomes,Joey,36080,GOMES19791102A,453464,
Gomez,Ramon,36089,GOMEZ19740515A,463881,
Gomez,Rudy,36090,GOMEZ19740914A,441649,
Gomez,Heber,36093,GOMEZ19771103A,464276,
Gomez,Hunter,36094,GOMEZ19780207A,449126,
Gomez,Ricardo,36095,GOMEZ19780614A,463274,
Gomez,Andre,36096,GOMEZ19780906A,456452,
Gomez,Odalis,36097,GOMEZ19781130A,472953,
Gomez,Diogenes,36099,GOMEZ19790327A,464058,
Gomez,Benny,36100,GOMEZ19790425A,452962,
Gomez,Deibis,36101,GOMEZ19800316A,472289,
Gomez,Galinda,36102,GOMEZ19800727A,470363,
Gomez,Hose,36103,GOMEZ19801222A,466202,
Gomez,Frank,36106,GOMEZ19810902A,473029,
Gomez,Andri,36107,GOMEZ19811031A,465536,
Gomez,Mariano,36109,GOMEZ19820912A,430648,
Gomon,Dusty,36110,GOMON19820903A,452294,
Gonce,Garris,36111,GONCE19790908A,454997,
Gonzales,Rick,36114,GONZALES19741025A,443434,
Gonzales,Jose,36115,GONZALES19750425A,436510,
Gonzalez,Ricky,36134,GONZALEZ19741113A,440329,
Gonzalez,Ignacio,36137,GONZALEZ19750602A,466117,
Gonzalez,Gilberto,36140,GONZALEZ19761124A,478138,
Gonzalez,Julian,36141,GONZALEZ19770210A,455026,
Gonzalez,Cristian,36143,GONZALEZ19770617A,471598,
Gonzalez,Santos,36144,GONZALEZ19770625A,470751,
Gonzalez,Edwin,36145,GONZALEZ19770813A,467343,
Gonzalez,Armando,36147,GONZALEZ19771012A,442464,
Gonzalez,Jimmy,36150,GONZALEZ19780813A,468817,
Gonzalez,Patrick,36155,GONZALEZ19791121A,446441,
Gonzalez,Reggie,36156,GONZALEZ19791214A,473002,
Gonzalez,Bernie,36157,GONZALEZ19800510A,452631,
Gonzalez,Giovanni,36158,GONZALEZ19800618A,438959,
Gonzalez,Andy,36163,GONZALEZ19811215A,462413,gonza004
Gonzalez,Enrique,36165,GONZALEZ19820714A,434619,gonze002
Gonzalez,Kimi,36166,GONZALEZ19820816A,471673,
Gooch,Arnold,36169,GOOCH19761112A,441375,
Good,Eric,36170,GOOD19800410A,407830,
Gooda,David,36171,GOODA19770000A,464624,
Goodeill,Harold,36172,GOODEILL19771006A,464201,
Goodell,Steve,36173,GOODELL19750423A,442891,
Gooden,Derek,36174,GOODEN19750626A,439854,
Gooden,Carl,36175,GOODEN19781125A,439856,
Goodhart,Steven,36176,GOODHART19730214A,439723,
Gooding,Jason,36177,GOODING19740729A,438957,
Goodman,Scott,36179,GOODMAN19770815A,451723,
Goodrich,Randy,36180,GOODRICH19761108A,438229,
Goodrum,Kevin,36181,GOODRUM19790617A,446620,
Goodson,Steve,36182,GOODSON19790411A,436377,
Goodwin,Joe,36183,GOODWIN19740419A,440048,
Goodwin,Keith,36184,GOODWIN19750205A,439144,
Goodwin,Ronald,36186,GOODWIN19790830A,445244,
Gooris,Daniel,36188,GOORIS19790411A,460362,
Gordnier,Aaron,36189,GORDNIER19740904A,464797,
Gordon,Mike,36190,GORDON19721130A,437603,
Gordon,Johnny,36197,GORDON19770207A,453479,
Gordon,Brian,36198,GORDON19780816A,430950,gordb001
Gordon,Justin,36199,GORDON19790526A,444584,
Goris,Braulio,36202,GORIS19770000A,462652,
Gorman,Pat,36204,GORMAN19770816A,440779,
Gorman,Jason,36205,GORMAN19800909A,454547,
Gorneault,Nick,36206,GORNEAULT19790419A,430951,gornn001
Gorr,Robb,36207,GORR19760914A,444024,
Gorrell,Chris,36208,GORRELL19760127A,440068,
Gorrie,Brad,36209,GORRIE19750125A,439845,
Gosewisch,Chip,36210,GOSEWISCH19770228A,461369,
Goss,Mike,36212,GOSS19800926A,450206,
Gotauco,David,36214,GOTAUCO19770829A,463578,
